,rid,label,expected_entity_type,total_submitted,no_ocr,only_ocr,had_entity_id,overlaps_with_proper_typed_entities,only_wrong_typed_entities,CURRENCY,LIST,PERCENT,ADDRESS,NAME,DATE,NUMBER,TEXT,OTHER,operator_results_selection_input_text,operator_results_selection_input_ocr,operator_results_value,operator_results_selection_input_ocr_words,operator_results_selection_input_ocr_texts,found_entity_aws_comp,found_entity_word_id,found_entity_raw_text
0,00650c00-0003-4258-9ccd-3347e5fd67a9,BASE LOAN AMOUNT,CURRENCY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,213.000.00 >,"[{'score': 90, 'id': 'word_4_186', 'text': '213.000.00', 'distance': 141005.22806708267, 'pos': {'x0': 289.66666666666663, 'y1': 272.66666666666663, 'x1': 344.3333333333333, 'y0': 264.3333333333333}}, {'score': 50, 'id': 'word_4_194', 'text': '>', 'distance': 141007.8190267988, 'pos': {'x0': 308.3333333333333, 'y1': 274.3333333333333, 'x1': 310.3333333333333, 'y0': 270.66666666666663}}]",213000.00,"['word_4_186', 'word_4_194']","['213.000.00', '>']",,,
2,00f84979-86ff-4218-951b-5ac03cfdaeb6,BASE LOAN AMOUNT,CURRENCY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44002130,"{'pos': {'x0': 2245, 'y1': 205, 'x1': 2390, 'y0': 180}, 'text': '44002130'}",44002130,['VALUE_NOT_PRESENT'],['44002130'],,,
4,016144ee-ee3d-4607-b368-1c227367f72e,BASE LOAN AMOUNT,CURRENCY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"238,355.00|","{'score': 82, 'id': 'word_5_398', 'text': '238,355.00|', 'distance': 140941.59015084937, 'pos': {'x0': 281.3333333333333, 'y1': 371.3333333333333, 'x1': 336.66666666666663, 'y0': 361.66666666666663}}",238355.00,['word_5_398'],"['238,355.00|']",,,
5,019a63ad-8936-4b22-9108-50174641bb11,BASE LOAN AMOUNT,CURRENCY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"126,500.00|","{'score': 49, 'id': 'word_4_389', 'text': '126,500.00|', 'distance': 140926.5795688698, 'pos': {'x0': 294.5512920908379, 'y1': 380.1844166014095, 'x1': 348.5301487862177, 'y0': 370.18833202819104}}",126500.00,['word_4_389'],"['126,500.00|']",,,
8,02634336-ecb7-492f-aefa-acf455199610,BASE LOAN AMOUNT,CURRENCY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"126,500.00|","{'score': 79, 'id': 'word_4_392', 'text': '126,500.00|', 'distance': 140929.28892614617, 'pos': {'x0': 292.5520751761942, 'y1': 378.1851996867658, 'x1': 347.5305403288958, 'y0': 367.52270947533276}}",126500.00,['word_4_392'],"['126,500.00|']",,,
12,0348de82-e5f5-454e-a818-9a32cfb7b785,BASE LOAN AMOUNT,CURRENCY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,219.725.00,"{'score': 84, 'id': 'word_4_128', 'text': '219.725.00', 'distance': 141024.80117350913, 'pos': {'x0': 299.3333333333333, 'y1': 245, 'x1': 347.3333333333333, 'y0': 224}}",219725.00,['word_4_128'],['219.725.00'],,,
13,038f416b-0fe8-45f2-8c18-715d8af7f96b,BASE LOAN AMOUNT,CURRENCY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,299’250'00 o,"[{'score': 46, 'id': 'word_3_536', 'text': ""299’250'00"", 'distance': 140726.9000107145, 'pos': {'x0': 275.55873140172275, 'y1': 679.7337509788566, 'x1': 335.86844166014095, 'y0': 667.7384494909944}}, {'score': 23, 'id': 'word_3_542', 'text': 'o', 'distance': 140719.951930769, 'pos': {'x0': 303.54776820673453, 'y1': 680.7333594361785, 'x1': 315.87627251370395, 'y0': 678.4009397024275}}]",299250.00,"['word_3_536', 'word_3_542']","[""299’250'00"", 'o']",,,
14,03d98612-57f4-44d2-a9dc-8f20c547db33,BASE LOAN AMOUNT,CURRENCY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,201.500.0 ! -00 k.,"[{'score': 65, 'id': 'word_5_348', 'text': '201.500.0', 'distance': 140842.85821523427, 'pos': {'x0': 280.5583497053045, 'y1': 510.52966601178787, 'x1': 338.1343811394892, 'y0': 501.2110019646366}}, {'score': 83, 'id': 'word_5_352', 'text': '!', 'distance': 140844.9838317857, 'pos': {'x0': 301.5253438113949, 'y1': 511.52809430255405, 'x1': 303.52220039292735, 'y0': 507.86719056974465}}, {'score': 69, 'id': 'word_5_353', 'text': '-00', 'distance': 140823.77902892276, 'pos': {'x0': 327.81728880157175, 'y1': 510.52966601178787, 'x1': 344.4577603143419, 'y0': 501.543811394892}}, {'score': 61, 'id': 'word_5_354', 'text': 'k.', 'distance': 140804.00475259344, 'pos': {'x0': 352.44518664047155, 'y1': 518.1842829076621, 'x1': 358.76856581532417, 'y0': 510.86247544204326}}]",201500.00,"['word_5_348', 'word_5_352', 'word_5_353', 'word_5_354']","['201.500.0', '!', '-00', 'k.']",,,
20,053cb23e-a471-4e1c-b23e-0af0a404de46,BASE LOAN AMOUNT,CURRENCY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"261,803.00|","{'score': 88, 'id': 'word_4_433', 'text': '261,803.00|', 'distance': 140930.98321449957, 'pos': {'x0': 290, 'y1': 378, 'x1': 344.66666666666663, 'y0': 368.3333333333333}}",261803.00,['word_4_433'],"['261,803.00|']",,,
22,05897690-b913-4d33-b8e6-80de853b08bf,BASE LOAN AMOUNT,CURRENCY,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"424,000.00","{'score': 89, 'id': 'word_3_576', 'text': '424,000.00', 'distance': 140684.26555638298, 'pos': {'x0': 285.66666666666663, 'y1': 735, 'x1': 340.66666666666663, 'y0': 718.3333333333333}}",424000.00,['word_3_576'],"['424,000.00']",,,
