,rid,label,expected_entity_type,total_submitted,no_ocr,only_ocr,had_entity_id,overlaps_with_proper_typed_entities,only_wrong_typed_entities,CURRENCY,LIST,PERCENT,ADDRESS,NAME,DATE,NUMBER,TEXT,OTHER,operator_results_selection_input_text,operator_results_selection_input_ocr,operator_results_value,operator_results_selection_input_ocr_words,operator_results_selection_input_ocr_texts,found_entity_aws_comp,found_entity_word_id,found_entity_raw_text
0,00650c00-0003-4258-9ccd-3347e5fd67a9,CURRENT EMPLOYER FULL NAME,COMPANY NAME,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Retired,"{'score': 92, 'id': 'word_1_674', 'text': 'Retired', 'distance': 140714.6298437215, 'pos': {'x0': 47.33333333333333, 'y1': 937.6666666666666, 'x1': 88, 'y0': 923.6666666666666}}",Retired,['word_1_674'],['Retired'],,,
1,00d3ad7f-58c0-4116-bde7-f22912b744d2,CURRENT EMPLOYER FULL NAME,COMPANY NAME,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Outfront Media', 'Wells Fargo']","[{'score': 85, 'id': 'word_339_746', 'text': 'Outfront', 'distance': 138530.55043924425, 'pos': {'x0': 1296, 'y1': 2742, 'x1': 1425, 'y0': 2717}}, {'score': 91, 'id': 'word_339_747', 'text': 'Media', 'distance': 138442.641809704, 'pos': {'x0': 1439, 'y1': 2742, 'x1': 1529, 'y0': 2717}}, {'score': 92, 'id': 'word_339_741', 'text': 'Wells', 'distance': 139361.0345900173, 'pos': {'x0': 156, 'y1': 2742, 'x1': 239, 'y0': 2717}}, {'score': 91, 'id': 'word_339_742', 'text': 'Fargo', 'distance': 139287.35259347848, 'pos': {'x0': 254, 'y1': 2749, 'x1': 340, 'y0': 2717}}]","['Outfront Media', 'Wells Fargo']","['word_339_746', 'word_339_747', 'word_339_741', 'word_339_742']","['Outfront', 'Media', 'Wells', 'Fargo']",,,
2,00d3ad7f-58c0-4116-bde7-f22912b744d2,CURRENT EMPLOYER FULL NAME,COMPANY NAME,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Outfront Media', 'Wells Fargo']","[{'score': 85, 'id': 'word_339_746', 'text': 'Outfront', 'distance': 138530.55043924425, 'pos': {'x0': 1296, 'y1': 2742, 'x1': 1425, 'y0': 2717}}, {'score': 91, 'id': 'word_339_747', 'text': 'Media', 'distance': 138442.641809704, 'pos': {'x0': 1439, 'y1': 2742, 'x1': 1529, 'y0': 2717}}, {'score': 92, 'id': 'word_339_741', 'text': 'Wells', 'distance': 139361.0345900173, 'pos': {'x0': 156, 'y1': 2742, 'x1': 239, 'y0': 2717}}, {'score': 91, 'id': 'word_339_742', 'text': 'Fargo', 'distance': 139287.35259347848, 'pos': {'x0': 254, 'y1': 2749, 'x1': 340, 'y0': 2717}}]","['Outfront Media', 'Wells Fargo']","['word_339_746', 'word_339_747', 'word_339_741', 'word_339_742']","['Outfront', 'Media', 'Wells', 'Fargo']",,,
3,00f84979-86ff-4218-951b-5ac03cfdaeb6,CURRENT EMPLOYER FULL NAME,COMPANY NAME,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Amourt,"{'score': 22, 'id': 'word_3_65', 'text': 'Amourt', 'distance': 140097.272937413, 'pos': {'x0': 1384, 'y1': 453, 'x1': 1476, 'y0': 431}}",Amourt,['word_3_65'],['Amourt'],,,
11,038f416b-0fe8-45f2-8c18-715d8af7f96b,CURRENT EMPLOYER FULL NAME,COMPANY NAME,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,KEMPER INSURANCE,"[{'score': 91, 'id': 'word_1_687', 'text': 'KEMPER', 'distance': 140699.21331836897, 'pos': {'x0': 20.325371965544242, 'y1': 980.6158966327329, 'x1': 70.9722004698512, 'y0': 968.953797963978}}, {'score': 90, 'id': 'word_1_688', 'text': 'INSURANCE', 'distance': 140650.95255783736, 'pos': {'x0': 75.30383711824588, 'y1': 985.2807361002349, 'x1': 145.60963194988253, 'y0': 970.6198120595144}}]",KEMPER INSURANCE,"['word_1_687', 'word_1_688']","['KEMPER', 'INSURANCE']",,,
13,03f2c406-49ed-40c0-8d94-40a8393553c3,CURRENT EMPLOYER FULL NAME,COMPANY NAME,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Waells F; Home Mortgage,"[{'score': 40, 'id': 'word_1_476', 'text': 'Waells', 'distance': 140764.9640910534, 'pos': {'x0': 127.33333333333333, 'y1': 793, 'x1': 151, 'y0': 781.3333333333333}}, {'score': 34, 'id': 'word_1_477', 'text': 'F;', 'distance': 140750.54025749877, 'pos': {'x0': 156.33333333333331, 'y1': 793, 'x1': 162.66666666666666, 'y0': 781.3333333333333}}, {'score': 92, 'id': 'word_1_478', 'text': 'Home', 'distance': 140728.4344277027, 'pos': {'x0': 178, 'y1': 793, 'x1': 203.33333333333331, 'y0': 781.3333333333333}}, {'score': 89, 'id': 'word_1_479', 'text': 'Mortgage', 'distance': 140704.91380979636, 'pos': {'x0': 203.33333333333331, 'y1': 793, 'x1': 244.33333333333331, 'y0': 781.3333333333333}}]",Wells Fargo Home Mortgage,"['word_1_476', 'word_1_477', 'word_1_478', 'word_1_479']","['Waells', 'F;', 'Home', 'Mortgage']",,,
16,048d38e3-3ce8-4521-a3f7-05cff8c5d076,CURRENT EMPLOYER FULL NAME,COMPANY NAME,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['TRIPLE PLAY ELECTRIC SERVICES INC', 'ANNIE ABOULIAN']","[{'score': 91, 'id': 'word_2_80', 'text': 'TRIPLE', 'distance': 141287.0059874187, 'pos': {'x0': 72.33333333333333, 'y1': 100, 'x1': 110, 'y0': 91.66666666666666}}, {'score': 92, 'id': 'word_2_81', 'text': 'PLAY', 'distance': 141260.72694027325, 'pos': {'x0': 114.33333333333333, 'y1': 100.33333333333333, 'x1': 141.66666666666666, 'y0': 92}}, {'score': 90, 'id': 'word_2_82', 'text': 'ELECTRIC', 'distance': 141229.74016847712, 'pos': {'x0': 145, 'y1': 101, 'x1': 197.66666666666666, 'y0': 92.33333333333333}}, {'score': 91, 'id': 'word_2_83', 'text': 'SERVICES', 'distance': 141188.9840406979, 'pos': {'x0': 201.33333333333331, 'y1': 102, 'x1': 255, 'y0': 93}}, {'score': 93, 'id': 'word_2_84', 'text': 'INC', 'distance': 141160.48521885372, 'pos': {'x0': 259.3333333333333, 'y1': 102, 'x1': 277, 'y0': 93.66666666666666}}, {'score': 92, 'id': 'word_2_87', 'text': 'ANNIE', 'distance': 141030.6618108472, 'pos': {'x0': 434, 'y1': 104, 'x1': 466.3333333333333, 'y0': 95.33333333333333}}, {'score': 92, 'id': 'word_2_88', 'text': 'ABOULIAN', 'distance': 140997.3711535865, 'pos': {'x0': 469.66666666666663, 'y1': 104.33333333333333, 'x1': 524, 'y0': 96}}]","['TRIPLE PLAY ELECTRIC SERVICES INC', 'ANNIE ABOULIAN']","['word_2_80', 'word_2_81', 'word_2_82', 'word_2_83', 'word_2_84', 'word_2_87', 'word_2_88']","['TRIPLE', 'PLAY', 'ELECTRIC', 'SERVICES', 'INC', 'ANNIE', 'ABOULIAN']",,,
17,048d38e3-3ce8-4521-a3f7-05cff8c5d076,CURRENT EMPLOYER FULL NAME,COMPANY NAME,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['TRIPLE PLAY ELECTRIC SERVICES INC', 'ANNIE ABOULIAN']","[{'score': 91, 'id': 'word_2_80', 'text': 'TRIPLE', 'distance': 141287.0059874187, 'pos': {'x0': 72.33333333333333, 'y1': 100, 'x1': 110, 'y0': 91.66666666666666}}, {'score': 92, 'id': 'word_2_81', 'text': 'PLAY', 'distance': 141260.72694027325, 'pos': {'x0': 114.33333333333333, 'y1': 100.33333333333333, 'x1': 141.66666666666666, 'y0': 92}}, {'score': 90, 'id': 'word_2_82', 'text': 'ELECTRIC', 'distance': 141229.74016847712, 'pos': {'x0': 145, 'y1': 101, 'x1': 197.66666666666666, 'y0': 92.33333333333333}}, {'score': 91, 'id': 'word_2_83', 'text': 'SERVICES', 'distance': 141188.9840406979, 'pos': {'x0': 201.33333333333331, 'y1': 102, 'x1': 255, 'y0': 93}}, {'score': 93, 'id': 'word_2_84', 'text': 'INC', 'distance': 141160.48521885372, 'pos': {'x0': 259.3333333333333, 'y1': 102, 'x1': 277, 'y0': 93.66666666666666}}, {'score': 92, 'id': 'word_2_87', 'text': 'ANNIE', 'distance': 141030.6618108472, 'pos': {'x0': 434, 'y1': 104, 'x1': 466.3333333333333, 'y0': 95.33333333333333}}, {'score': 92, 'id': 'word_2_88', 'text': 'ABOULIAN', 'distance': 140997.3711535865, 'pos': {'x0': 469.66666666666663, 'y1': 104.33333333333333, 'x1': 524, 'y0': 96}}]","['TRIPLE PLAY ELECTRIC SERVICES INC', 'ANNIE ABOULIAN']","['word_2_80', 'word_2_81', 'word_2_82', 'word_2_83', 'word_2_84', 'word_2_87', 'word_2_88']","['TRIPLE', 'PLAY', 'ELECTRIC', 'SERVICES', 'INC', 'ANNIE', 'ABOULIAN']",,,
25,05aa2362-d85e-4a06-8ba9-00c5cc1afbdf,CURRENT EMPLOYER FULL NAME,COMPANY NAME,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Delta Air Lines', 'Retired']","[{'score': 91, 'id': 'word_2_40', 'text': 'Delta', 'distance': 141034.5667016502, 'pos': {'x0': 440.3333333333333, 'y1': 95, 'x1': 467, 'y0': 86.33333333333333}}, {'score': 91, 'id': 'word_2_41', 'text': 'Air', 'distance': 141017.39237610216, 'pos': {'x0': 470.3333333333333, 'y1': 95, 'x1': 485.3333333333333, 'y0': 86.66666666666666}}, {'score': 91, 'id': 'word_2_42', 'text': 'Lines', 'distance': 140999.63206226617, 'pos': {'x0': 488.66666666666663, 'y1': 95.33333333333333, 'x1': 517, 'y0': 86.66666666666666}}, {'score': 91, 'id': 'word_2_39', 'text': 'Retired', 'distance': 141303.03382545535, 'pos': {'x0': 57.33333333333333, 'y1': 93, 'x1': 98.66666666666666, 'y0': 79.66666666666666}}]","['Delta Air Lines', 'Retired']","['word_2_40', 'word_2_41', 'word_2_42', 'word_2_39']","['Delta', 'Air', 'Lines', 'Retired']",COMPANY NAME,"['word_2_40', 'word_2_41', 'word_2_42']",Delta Air Lines
26,05d32960-47fe-47d9-82c0-5f07cfc4d5e0,CURRENT EMPLOYER FULL NAME,COMPANY NAME,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Office Creations,"[{'score': 91, 'id': 'word_1_705', 'text': 'Office', 'distance': 140770.34624152893, 'pos': {'x0': 136.94635865309317, 'y1': 773.6969459671103, 'x1': 159.27094753328112, 'y0': 767.366092404072}}, {'score': 92, 'id': 'word_1_706', 'text': 'Creations', 'distance': 140747.89589118407, 'pos': {'x0': 161.93657008613937, 'y1': 774.0301487862176, 'x1': 197.25606891151133, 'y0': 767.366092404072}}]",Office Creations,"['word_1_705', 'word_1_706']","['Office', 'Creations']",,,
