,rid,label,expected_entity_type,total_submitted,no_ocr,only_ocr,had_entity_id,overlaps_with_proper_typed_entities,only_wrong_typed_entities,CURRENCY,LIST,PERCENT,ADDRESS,NAME,DATE,NUMBER,TEXT,OTHER,operator_results_selection_input_text,operator_results_selection_input_ocr,operator_results_value,operator_results_selection_input_ocr_words,operator_results_selection_input_ocr_texts,found_entity_aws_comp,found_entity_word_id,found_entity_raw_text
0,00650c00-0003-4258-9ccd-3347e5fd67a9,LOAN OFFICER SIGNATURE DATE,DATE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9/14/2017,"{'score': 91, 'id': 'word_4_1131', 'text': '9/14/2017', 'distance': 140456.1536040696, 'pos': {'x0': 437, 'y1': 907.3333333333333, 'x1': 481, 'y0': 899.6666666666666}}",09/14/2017,['word_4_1131'],['9/14/2017'],,,
1,00f84979-86ff-4218-951b-5ac03cfdaeb6,LOAN OFFICER SIGNATURE DATE,DATE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,07/07/2020,"{'pos': {'x0': 1858, 'y1': 1021, 'x1': 1870, 'y0': 991}, 'text': '07/07/2020'}",07/07/2020,['VALUE_NOT_PRESENT'],['07/07/2020'],,,
2,019a63ad-8936-4b22-9108-50174641bb11,LOAN OFFICER SIGNATURE DATE,DATE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,08/11/2017,"{'score': 88, 'id': 'word_4_1433', 'text': '08/11/2017', 'distance': 194.0783413155848, 'pos': {'x0': 532.1249021143304, 'y1': 969.9534064212999, 'x1': 587.4365700861393, 'y0': 961.2901331245105}}",08/11/2017,['word_4_1433'],['08/11/2017'],,,
3,0348de82-e5f5-454e-a818-9a32cfb7b785,LOAN OFFICER SIGNATURE DATE,DATE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92/19/2018,"{'score': 48, 'id': 'word_4_876', 'text': '92/19/2018', 'distance': 140350.4780851217, 'pos': {'x0': 582, 'y1': 906.6666666666666, 'x1': 636.6666666666666, 'y0': 898}}",02/19/2018,['word_4_876'],['92/19/2018'],,,
4,038f416b-0fe8-45f2-8c18-715d8af7f96b,LOAN OFFICER SIGNATURE DATE,DATE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A7),"{'score': 29, 'id': 'word_3_1502', 'text': 'A7)', 'distance': 140114.83953121843, 'pos': {'x0': 565.778386844166, 'y1': 1260.8394675019576, 'x1': 624.755285826155, 'y0': 1240.180892717306}}",11/17/2017,['word_3_1502'],['A7)'],,,
5,03f2c406-49ed-40c0-8d94-40a8393553c3,LOAN OFFICER SIGNATURE DATE,DATE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,(including,"{'score': 86, 'id': 'word_3_626', 'text': '(including', 'distance': 140272.7084893724, 'pos': {'x0': 641.6666666666666, 'y1': 968.6666666666666, 'x1': 675.6666666666666, 'y0': 957.3333333333333}}",03/30/2018,['word_3_626'],['(including'],,,
7,05aa2362-d85e-4a06-8ba9-00c5cc1afbdf,LOAN OFFICER SIGNATURE DATE,DATE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,01/17/2018,"{'score': 85, 'id': 'word_5_1226', 'text': '01/17/2018', 'distance': 302.9331609447866, 'pos': {'x0': 536.6666666666666, 'y1': 954.3333333333333, 'x1': 591.3333333333333, 'y0': 945.6666666666666}}",01/17/2018,['word_5_1226'],['01/17/2018'],,,
8,07876240-24e5-4e86-ad41-475cd9d40a0c,LOAN OFFICER SIGNATURE DATE,DATE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017']","[{'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 244.19010126447708, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 505.4494424657019, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}]","['12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017']","['word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380']","['12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017']",,,
9,07876240-24e5-4e86-ad41-475cd9d40a0c,LOAN OFFICER SIGNATURE DATE,DATE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017']","[{'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 244.19010126447708, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 505.4494424657019, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}]","['12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017']","['word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380']","['12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017']",,,
10,07876240-24e5-4e86-ad41-475cd9d40a0c,LOAN OFFICER SIGNATURE DATE,DATE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017']","[{'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 244.19010126447708, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 505.4494424657019, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}, {'score': 58, 'id': 'word_4_1380', 'text': '12/0772017', 'distance': 140411.3670999926, 'pos': {'x0': 507.66666666666663, 'y1': 897, 'x1': 558, 'y0': 888.6666666666666}}]","['12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017', '12/07/2017']","['word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380', 'word_4_1380']","['12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017', '12/0772017']",,,
